,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
0,1,0,1,0,0.07233273056057861,0.4134328358208955,0.35185185185185075,0.08333333333333333,0,0,0,0,0,0.6642857142857145,0.016666666666667405,0.5,0,0,0,0,0.3425125217213534
1,1,0,1,0,0.07233273056057861,0.4134328358208955,0.35185185185185075,0.08333333333333333,0,0,0,0,0,0.6642857142857145,0.016666666666667405,0.5,0,0,0,0,0.46537871818460597
2,1,0,1,0,0.2857142857142857,0.4492537313432833,0.4814814814814806,0.38333333333333347,0,0,0,0,0,0.10000000000000009,0.6750000000000002,0.5,0,0,0,0,0.46537871818460597
3,0,0,0,0,0.47739602169981893,0.5298507462686565,0.5462962962962955,0.5416666666666666,0,0,0,0,0,0.46428571428571425,0.6166666666666667,0.8124999999999998,0,0,0,0,0.361116222017786
4,0,0,0,0,0.46292947558770353,0.5298507462686565,0.5648148148148142,0.5416666666666666,0,0,0,0,0,0.46428571428571425,0.6166666666666667,0.18750000000000028,0,0,0,0,0.5042216089134213
5,1,0,0,0,0.47739602169981893,0.5402985074626866,0.5555555555555542,0.44166666666666704,0,0,0,0,0,0.46428571428571425,0.6166666666666667,0.3437500000000001,0,0,0,0,0.4142696514361648
6,0,0,0,0,0.6943942133815547,0.7701492537313431,1.0,0.6583333333333338,0,0,0,0,0,0.46428571428571425,0.6166666666666667,0.3437500000000001,0,0,0,0,0.514852294797097
7,0,1,0,0,0.6943942133815547,0.7701492537313431,1.0,0.6583333333333338,0,0,0,0,0,0.46428571428571425,0.6166666666666667,0.3437500000000001,0,0,0,0,0.564325871409588
8,0,0,0,0,0.6943942133815547,0.7701492537313431,1.0,0.6750000000000002,0,0,0,0,0,0.4214285714285714,0.6166666666666667,0.2812500000000004,0,0,0,0,0.7669222120004089
9,1,0,0,0,0.4665461121157322,0.5537313432835819,0.7037037037037028,0.35000000000000026,0,0,0,0,0,0.4214285714285714,0.6166666666666667,0.0,0,0,0,0,0.5209513237248289
10,1,0,1,0,0.5280289330922242,0.5328358208955224,0.4166666666666657,0.5416666666666666,0,0,0,0,0,0.6857142857142857,0.11666666666666704,0.4375000000000003,0,0,0,0,0.46251661044669323
11,0,0,1,0,0.5280289330922242,0.5328358208955224,0.4166666666666657,0.5416666666666666,0,0,0,0,0,0.6857142857142857,0.11666666666666704,0.4375000000000003,0,0,0,0,0.48275580087907594
12,1,0,1,0,0.5280289330922242,0.5328358208955224,0.4166666666666657,0.5416666666666666,0,0,0,0,0,0.55,0.4416666666666669,0.5,0,0,0,0,0.6481447408770316
13,0,0,1,0,0.5280289330922242,0.5328358208955224,0.4166666666666657,0.5416666666666666,0,0,0,0,0,0.55,0.4416666666666669,0.5,0,0,0,0,0.6536645200858633
14,0,0,1,0,0.6112115732368895,0.7149253731343284,0.6111111111111105,0.6583333333333338,0,0,0,0,0,0.55,0.4416666666666669,0.5,0,0,0,0,0.7951344168455484
15,0,0,1,0,0.6112115732368895,0.7149253731343284,0.6111111111111105,0.6583333333333338,0,0,0,1,0,0.7714285714285716,0.6083333333333335,0.18750000000000028,0,0,0,0,1.0
16,1,0,1,0,0.6112115732368895,0.7865671641791047,0.7037037037037028,0.49166666666666714,0,0,0,1,0,0.7714285714285716,0.6083333333333335,0.18750000000000028,0,0,0,0,1.0
17,0,0,1,0,0.8462929475587699,0.8343283582089552,0.98148148148148,0.7083333333333334,0,0,0,1,0,0.7714285714285716,0.6083333333333335,0.18750000000000028,0,0,0,0,1.0
18,1,0,0,0,0.06509945750452116,0.0,0.0,0.45000000000000046,0,0,0,0,0,0.2642857142857144,0.3083333333333335,0.6562499999999999,0,0,1,1,0.001349279362158847
19,1,0,0,0,0.2857142857142857,0.22089552238805954,0.30555555555555525,0.35000000000000026,0,0,0,0,0,0.34999999999999987,0.37500000000000017,0.6874999999999998,0,0,0,0,0.04812429725033221
20,0,0,0,0,0.2857142857142857,0.2641791044776119,0.30555555555555525,0.35000000000000026,0,0,0,0,0,0.34999999999999987,0.37500000000000017,0.6874999999999998,0,0,0,0,0.05957272820198303
21,1,0,0,0,0.25678119349005435,0.24179104477611935,0.3240740740740733,0.25,0,0,0,0,0,0.3071428571428573,0.4750000000000002,0.6281249999999999,0,0,0,0,0.018562813043033834
22,1,0,0,0,0.25678119349005435,0.24179104477611935,0.3240740740740733,0.25,0,0,0,0,0,0.3071428571428573,0.4750000000000002,0.625,0,0,0,0,0.05147705202902995
23,1,0,0,0,0.25678119349005435,0.24179104477611935,0.3240740740740733,0.25,0,0,0,0,0,0.34999999999999987,0.6083333333333335,0.06250000000000028,0,0,0,0,0.1160789123990596
24,0,0,0,0,0.25678119349005435,0.24179104477611935,0.3240740740740733,0.2333333333333337,0,0,0,0,0,0.3071428571428573,0.4750000000000002,0.625,0,0,0,0,0.04542573852601452
25,0,0,0,0,0.25678119349005435,0.24179104477611935,0.3240740740740733,0.2333333333333337,0,0,0,0,0,0.3071428571428573,0.4750000000000002,0.625,0,0,0,0,0.06435653684963713
26,0,0,0,0,0.25678119349005435,0.24179104477611935,0.3240740740740733,0.2333333333333337,0,0,0,0,0,0.3071428571428573,0.4750000000000002,0.625,0,0,0,0,0.10185014821629357
27,1,0,0,0,0.25678119349005435,0.24179104477611935,0.3240740740740733,0.2333333333333337,0,0,0,0,0,0.34999999999999987,0.6083333333333335,0.06250000000000028,0,0,0,0,0.1406521516917101
28,0,1,0,0,0.6039783001808315,0.4999999999999998,0.3981481481481469,1.0,0,0,0,0,0,0.5714285714285713,0.6666666666666666,0.3437500000000001,0,0,0,0,0.15549422467545743
29,1,0,0,0,0.3363471971066909,0.47910447761193997,0.5555555555555542,0.20000000000000048,0,0,0,0,0,0.7571428571428572,1.0,0.0,0,0,0,0,0.3208013901666156
30,1,0,0,0,0.0,0.05223880597014885,0.33333333333333265,0.25,0,0,0,0,0,0.2642857142857144,0.6250000000000002,0.6874999999999998,0,0,1,1,0.05564755187570275
31,1,0,0,0,0.0,0.05223880597014885,0.33333333333333265,0.25,0,0,0,0,0,0.2642857142857144,0.6250000000000002,0.5624999999999998,0,0,0,0,0.07102115915363386
32,1,0,0,0,0.25678119349005435,0.1328358208955221,0.34259259259259206,0.40000000000000036,0,0,0,0,0,0.2642857142857144,0.34166666666666684,0.8437499999999996,0,0,0,0,0.011489318205049576
33,1,0,0,0,0.25678119349005435,0.1328358208955221,0.34259259259259206,0.40000000000000036,0,0,0,0,0,0.2642857142857144,0.6250000000000002,0.5624999999999998,0,0,0,0,0.0576919145456404
34,1,0,0,0,0.25678119349005435,0.1328358208955221,0.34259259259259206,0.40000000000000036,0,0,0,0,0,0.2642857142857144,0.6250000000000002,0.5624999999999998,0,0,0,0,0.08222426658489217
35,0,0,0,0,0.35804701627486435,0.33283582089552227,0.34259259259259206,0.5583333333333336,0,0,0,0,0,0.2642857142857144,0.6250000000000002,0.5624999999999998,0,0,0,0,0.08901155064908514
36,0,1,0,0,0.35804701627486435,0.23880597014925342,0.33333333333333265,0.875,0,0,0,0,0,0.27142857142857135,0.6250000000000002,0.5624999999999998,0,0,0,0,0.08901155064908514
37,1,0,0,0,0.35804701627486435,0.3940298507462685,0.45370370370370317,0.4583333333333333,0,0,0,0,0,0.43571428571428567,0.7666666666666667,0.5,0,0,0,0,0.11354390268833692
38,1,0,0,0,0.35804701627486435,0.3940298507462685,0.45370370370370317,0.4583333333333333,0,0,0,0,0,0.43571428571428567,0.7666666666666667,0.5,0,0,0,0,0.16260860676684044
39,0,0,0,0,0.35804701627486435,0.5119402985074627,0.45370370370370317,0.5250000000000004,0,0,0,0,0,0.43571428571428567,0.7666666666666667,0.5,0,0,0,0,0.1523867934171522
40,0,0,0,0,0.35804701627486435,0.5119402985074627,0.2037037037037035,0.5250000000000004,0,0,0,0,0,0.43571428571428567,0.7666666666666667,0.5,0,0,0,0,0.21167331084534396
41,0,0,0,0,0.35804701627486435,0.5119402985074627,0.45370370370370317,0.5250000000000004,0,0,0,0,0,0.43571428571428567,0.7666666666666667,0.5,0,0,0,0,0.32002453235203926
42,1,0,0,0,0.35804701627486435,0.4179104477611938,0.5277777777777768,0.2666666666666669,0,0,0,0,0,0.43571428571428567,0.7666666666666667,0.5312499999999999,0,0,0,0,0.21371767351528162
43,0,0,1,0,0.2784810126582278,0.4417910447761191,0.13888888888888856,0.47500000000000026,0,0,0,0,0,0.55,0.4750000000000002,0.3437500000000001,0,0,0,0,0.06815905141572115
44,1,0,0,0,0.2857142857142857,0.22089552238805954,0.30555555555555525,0.35000000000000026,0,0,0,0,0,0.34999999999999987,0.37500000000000017,0.6874999999999998,0,0,0,0,0.15531023203516303
45,0,0,0,0,0.2857142857142857,0.22089552238805954,0.30555555555555525,0.35000000000000026,0,0,0,0,0,0.34999999999999987,0.37500000000000017,0.6874999999999998,0,0,0,0,0.15531023203516303
46,1,0,1,0,0.33996383363471966,0.4701492537313431,0.45370370370370317,0.3000000000000001,0,0,0,0,1,0.6357142857142859,0.4750000000000002,0.5624999999999998,0,0,0,0,0.2424614126546049
47,0,0,1,0,0.9547920433996379,0.8731343283582089,0.8611111111111088,0.4166666666666667,1,0,0,1,0,0.7785714285714285,1.0,0.21875000000000014,0,0,0,0,1.0
